"ID","FTR"
1,"H"
2,"A"
3,"H"
4,"H"
5,"H"
6,"H"
7,"H"
8,"H"
9,"H"
10,"A"
11,"H"
12,"H"
13,"H"
14,"A"
15,"A"
16,"H"
17,"A"
18,"A"
19,"A"
20,"H"
21,"H"
22,"A"
23,"H"
24,"A"
25,"H"
26,"H"
27,"H"
28,"H"
29,"A"
30,"D"
31,"H"
32,"H"
33,"H"
34,"A"
35,"D"
36,"A"
37,"A"
38,"H"
39,"H"
40,"A"
41,"A"
42,"A"
43,"A"
44,"H"
45,"H"
46,"H"
47,"H"
48,"H"
49,"A"
50,"H"
51,"H"
52,"H"
53,"A"
54,"H"
55,"H"
56,"H"
57,"H"
58,"A"
59,"H"
60,"A"
61,"H"
62,"H"
63,"H"
64,"D"
65,"H"
66,"H"
67,"A"
68,"D"
69,"A"
70,"H"
71,"H"
72,"A"
73,"H"
74,"A"
75,"A"
76,"H"
77,"A"
78,"H"
79,"A"
80,"A"
81,"H"
82,"A"
83,"A"
84,"H"
85,"H"
86,"H"
87,"D"
88,"H"
89,"H"
90,"A"
91,"A"
92,"A"
93,"H"
94,"H"
95,"H"
96,"H"
97,"A"
98,"H"
99,"D"
100,"D"
101,"A"
102,"H"
103,"A"
104,"D"
105,"H"
106,"A"
107,"A"
108,"H"
109,"H"
110,"A"
111,"H"
112,"D"
113,"A"
114,"A"
115,"H"
116,"A"
117,"H"
118,"A"
119,"H"
120,"H"
121,"A"
122,"H"
123,"A"
124,"A"
125,"H"
126,"H"
127,"H"
128,"H"
129,"H"
130,"A"
131,"H"
132,"H"
133,"H"
134,"A"
135,"A"
136,"H"
137,"A"
138,"H"
139,"H"
140,"A"
141,"A"
142,"D"
143,"A"
144,"D"
145,"A"
146,"H"
147,"A"
148,"A"
149,"A"
150,"A"
151,"H"
152,"H"
153,"A"
154,"A"
155,"H"
156,"H"
157,"H"
158,"H"
159,"H"
160,"H"
161,"H"
162,"A"
163,"H"
164,"A"
165,"H"
166,"H"
167,"H"
168,"H"
169,"H"
170,"A"
171,"H"
172,"A"
173,"H"
174,"H"
175,"H"
176,"H"
177,"A"
178,"H"
179,"H"
180,"H"
181,"D"
182,"H"
183,"A"
184,"A"
185,"A"
186,"H"
187,"H"
188,"H"
189,"A"
190,"A"
